Stock 1,Stock 2,Beta,ADF stat,Crit value,Half life
IBKR,JPM,3.077964508437035,-3.609697561797596,-3.443496379464,8.99473424169211
BK,JPM,2.3369037986286236,-3.604956465996336,-3.443496379464,11.756468397035453
IBKR,NTRS,1.2846800551212487,-3.6015846459152305,-3.4436298692815304,12.177859214193383
CVNA,STT,0.14778371706386584,-3.596361656273129,-3.443470002903981,13.69770723659378
NTRS,RL,3.091757019008562,-3.5915439537422165,-3.443470002903981,14.158989405107047
MS,RL,2.2329165195039096,-3.591209908919546,-3.443470002903981,14.09405403390945
DGX,WELL,1.5494271991988624,-3.5884831072206906,-3.443470002903981,12.482413900818466
L,MS,2.70743249674187,-3.581911085615666,-3.443470002903981,14.179721290396602
HWM,NRG,0.7948138582513345,-3.5774465608578336,-3.4435761493506294,8.462728652774468
NI,WMB,1.5532718080807797,-3.576175044832317,-3.443470002903981,14.111175365570789
AVGO,JPM,0.5524272247055755,-3.573614305927319,-3.4435761493506294,13.009378363547196
APP,MS,0.13331452664469903,-3.566319493833565,-3.4435228622952065,10.059978683970321
GEV,PLTR,0.3332423251421489,-3.5540227641345865,-3.445231637930579,12.52687419562453
CMI,CRH,0.20742383135899362,-3.5528545174286563,-3.4435228622952065,10.443381508943299
PPL,WEC,3.293597003750399,-3.547092506392832,-3.443496379464,12.685809347523424
CVNA,NTRS,0.17066187549133155,-3.530777344464083,-3.443496379464,11.367023545571865
AEE,WEC,1.0015771146653827,-3.52857245040176,-3.443470002903981,14.693537506116849
CMS,PPL,0.6035859668460514,-3.5239127717759966,-3.443470002903981,13.901319882228831
